ID,任务类型,执行时间,文件名,总行数,正常数,低质数,处理失败数
3b8587ba-4a3d-4a89-9ad2-16c01ad96a08,cover,2025-09-08 18:35:17,cover_3b8587ba-4a3d-4a89-9ad2-16c01ad96a08.xlsx,10,8,0,0
cbc21b86-6c54-4cb8-a8c4-dba75d94486d,brand,2025-09-08 18:36:26,brand_cbc21b86-6c54-4cb8-a8c4-dba75d94486d.xlsx,9,0,0,0
f33d1894-6a47-411c-826f-c5707586496b,comment,2025-09-08 18:40:20,comment_f33d1894-6a47-411c-826f-c5707586496b.xlsx,10,4,6,0
70d567d9-1bb2-4531-bcb9-c6d3b787c583,push,2025-09-08 18:41:03,push_70d567d9-1bb2-4531-bcb9-c6d3b787c583.xlsx,10,2,8,0
7c649876-9db5-4a45-89b0-b1e168c0a3d0,brand,2025-09-08 19:00:13,brand_7c649876-9db5-4a45-89b0-b1e168c0a3d0.xlsx,9,0,0,0
7623c90b-3e3f-4280-9b49-d79216af4487,comment,2025-09-08 19:12:00,comment_7623c90b-3e3f-4280-9b49-d79216af4487.xlsx,10,5,5,0
870b14ca-a88d-482f-a63f-e6aa619e294b,brand,2025-09-09 17:26:56,brand_870b14ca-a88d-482f-a63f-e6aa619e294b.xlsx,9,0,0,0
edd5f468-0021-470c-be19-2369495d9395,brand,2025-09-09 17:44:17,brand_edd5f468-0021-470c-be19-2369495d9395.xlsx,9,0,0,0
db388f8b-5f88-4178-9a4a-63237357d765,brand,2025-09-10 09:20:29,brand_db388f8b-5f88-4178-9a4a-63237357d765.xlsx,9,0,0,0
4c1210de-4a42-4e8a-9095-e554f056cdc7,cover,2025-09-10 09:24:00,cover_4c1210de-4a42-4e8a-9095-e554f056cdc7.xlsx,10,8,0,0
931de17f-7e9e-4c00-b11a-bc80cad8e608,brand,2025-09-10 09:52:58,brand_931de17f-7e9e-4c00-b11a-bc80cad8e608.xlsx,9,0,0,0
9589a863-b28a-4c4f-ae2b-0bcfb85d3647,brand,2025-09-10 10:12:23,brand_9589a863-b28a-4c4f-ae2b-0bcfb85d3647.xlsx,9,0,0,0
9b81541d-2609-45d7-bcc8-22443adb957b,brand,2025-09-10 10:41:46,brand_9b81541d-2609-45d7-bcc8-22443adb957b.xlsx,9,0,0,0
0b5609ed-f164-47cf-8b97-fb1b86459e97,cover,2025-09-10 11:21:43,cover_0b5609ed-f164-47cf-8b97-fb1b86459e97.xlsx,10,7,0,0
